id,flight_type,year,month,flights_arrival,flights_departure,flights_total,pax_arrival,pax_departure,pax_total,cargo_arrival,cargo_departure,cargo_total,inserted_at,updated_at
49,international,2020,1,"23,002","23,015","46,017","3,923,306","3,998,190","7,921,496","157,138.7","167,154.4","324,293.1",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
50,international,2020,2,"16,540","16,466","33,006","2,079,712","1,909,786","3,989,498","142,420.2","144,535.4","286,955.6",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
51,international,2020,3,"5,312","5,215","10,527","351,467","296,183","647,650","127,054.6","125,087.5","252,142.1",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
52,international,2020,4,"3,344","3,324","6,668","121,056","33,243","154,299","112,842.5","107,877.3","220,719.8",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
53,international,2020,5,"3,876","3,875","7,751","94,886","43,561","138,447","112,659.1","110,778.7","223,437.7",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
54,international,2020,6,"3,792","3,794","7,586","109,198","74,151","183,349","112,306.2","107,034.6","219,340.7",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
55,international,2020,7,"4,075","4,084","8,159","116,828","103,075","219,903","120,878.6","119,801.7","240,680.3",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
56,international,2020,8,"4,221","4,237","8,458","113,316","122,694","236,010","115,232.4","122,131.8","237,364.1",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
57,international,2021,1,"5,070","5,112","10,182","93,607","119,318","212,925","127,609.3","139,754.4","267,363.7",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
58,international,2021,2,"4,510","4,527","9,037","85,677","81,432","167,109","120,322.5","121,850.1","242,172.6",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
59,international,2021,3,"5,568","5,604","11,172","89,866","95,825","185,691","146,620.7","146,568.4","293,189.1",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
60,international,2021,4,"5,502","5,510","11,012","89,092","90,791","179,883","145,010.4","139,814.1","284,824.5",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
61,international,2021,5,"5,489","5,505","10,994","112,863","95,447","208,310","147,820.5","140,121.7","287,942.1",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
62,international,2021,6,"5,405","5,440","10,845","128,480","120,175","248,655","144,920.8","138,060.3","282,981.1",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
63,international,2021,7,"5,508","5,513","11,021","148,431","145,329","293,760","149,582","143,907.2","293,489.2",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
64,international,2021,8,"5,293","5,297","10,590","157,385","184,847","342,232","144,615","138,342.9","282,957.9",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
65,international,2022,1,"5,619","5,708","11,327","164,953","196,000","360,953","136,958.4","142,654.9","279,613.3",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
66,international,2022,2,"4,794","4,876","9,670","175,411","147,804","323,215","122,156.1","124,473.9","246,630",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
67,international,2022,3,"5,650","5,737","11,387","203,194","211,490","414,684","144,586.8","148,437.5","293,024.3",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
68,international,2022,4,"5,342","5,384","10,726","330,173","324,811","654,984","141,033","136,331","277,364",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
