id,title,genre,location,seats,region,t_d,s_y,s_m,s_d,e_y,e_m,e_d
1541,현역가왕2 전국투어 콘서트 [안양],대중음악,안양종합운동장,6690,경기,현역가왕2 전국투어 콘서트 [안양]|2025-06-07,2025,6,7,2025,6,7
1542,현역가왕2 전국투어 콘서트 [전주],대중음악,한국소리문화의전당,7000,전북,현역가왕2 전국투어 콘서트 [전주]|2025-05-24,2025,5,24,2025,5,25
1543,Jay Park World Tour: Serenades & Body Rolls,대중음악,올림픽공원,5003,서울,Jay Park World Tour: Serenades & Body Rolls|2025-05-24,2025,5,24,2025,5,25
1544,정동원棟동 이야기話화 3rd 전국투어 콘서트 [수원],대중음악,수원종합운동장,5145,경기,정동원棟동 이야기話화 3rd 전국투어 콘서트 [수원]|2025-05-24,2025,5,24,2025,5,25
1545,"허용별 콘서트, 보컬 전쟁 시즌2: The War of Vocalists Ⅱ [서울]",대중음악,경희대학교 평화의전당,4500,서울,"허용별 콘서트, 보컬 전쟁 시즌2: The War of Vocalists Ⅱ [서울]|2025-05-24",2025,5,24,2025,5,24
1546,진격의 거인 오피셜 콘서트: Beyond the Walls World Tour,서양음악(클래식),고려대학교 화정체육관,8057,서울,진격의 거인 오피셜 콘서트: Beyond the Walls World Tour|2025-05-31,2025,5,31,2025,6,1
1547,SHINee WORLD Ⅶ: E.S.S.A.Y (Every Stage Shines Around You),대중음악,올림픽공원,15000,서울,SHINee WORLD Ⅶ: E.S.S.A.Y (Every Stage Shines Around You)|2025-05-23,2025,5,23,2025,5,25
1548,현역가왕2 전국투어 콘서트 [대구],대중음악,엑스코(exco),12000,대구,현역가왕2 전국투어 콘서트 [대구]|2025-05-10,2025,5,10,2025,5,10
1549,ZEROBASEONE FAN-CON: BLUE MANSION,대중음악,올림픽공원,15000,서울,ZEROBASEONE FAN-CON: BLUE MANSION|2025-04-18,2025,4,18,2025,4,20
1550,현역가왕2 전국투어 콘서트 [창원],대중음악,창원컨벤션센터,10400,경남,현역가왕2 전국투어 콘서트 [창원]|2025-05-17,2025,5,17,2025,5,17
1551,현역가왕2 전국투어 콘서트 [부산],대중음악,벡스코 (BEXCO),18000,부산,현역가왕2 전국투어 콘서트 [부산]|2025-05-03,2025,5,3,2025,5,3
1552,TAEMIN WORLD TOUR: Ephemeral Gaze Finale,대중음악,올림픽공원,15000,서울,TAEMIN WORLD TOUR: Ephemeral Gaze Finale|2025-04-26,2025,4,26,2025,4,27
1553,KAI SOLO CONCERT TOUR: KAION [서울],대중음악,올림픽공원,5003,서울,KAI SOLO CONCERT TOUR: KAION [서울]|2025-05-17,2025,5,17,2025,5,18
1554,"장민호 전국투어 콘서트, 호시절: 시간여행 [서울 (앵콜) ]",대중음악,경희대학교 평화의전당,4500,서울,"장민호 전국투어 콘서트, 호시절: 시간여행 [서울 (앵콜) ]|2025-04-19",2025,4,19,2025,4,20
